"","scatterplot.Garstki2017_Scatter.PNG.id","scatterplot.Garstki2017_Scatter.PNG.x","scatterplot.Garstki2017_Scatter.PNG.y","scatterplot.Garstki2017_Scatter.PNG.group","scatterplot.Garstki2017_Scatter.PNG.col","scatterplot.Garstki2017_Scatter.PNG.pch","scatterplot.Garstki2017_Scatter.PNG.y_variable","scatterplot.Garstki2017_Scatter.PNG.x_variable"
"1","",0.160975609756098,0.161538461538462,1,"red",19,"0.1","0.2"
"2","",0.248780487804878,0.253846153846154,1,"red",19,"0.1","0.2"
"3","",0.258536585365854,0.265384615384615,1,"red",19,"0.1","0.2"
"4","",0.275609756097561,0.326923076923077,1,"red",19,"0.1","0.2"
"5","",0.295121951219512,0.303846153846154,1,"red",19,"0.1","0.2"
"6","",0.295121951219512,0.280769230769231,1,"red",19,"0.1","0.2"
"7","",0.353658536585366,0.326923076923077,1,"red",19,"0.1","0.2"
"8","",0.363414634146342,0.326923076923077,1,"red",19,"0.1","0.2"
"9","",0.392682926829269,0.307692307692308,1,"red",19,"0.1","0.2"
"10","",0.373170731707317,0.396153846153846,1,"red",19,"0.1","0.2"
"11","",0.41219512195122,0.407692307692307,1,"red",19,"0.1","0.2"
"12","",0.441463414634147,0.407692307692307,1,"red",19,"0.1","0.2"
"13","",0.451219512195122,0.438461538461538,1,"red",19,"0.1","0.2"
"14","",0.468292682926829,0.461538461538461,1,"red",19,"0.1","0.2"
"15","",0.485365853658537,0.446153846153846,1,"red",19,"0.1","0.2"
"16","",0.490243902439024,0.411538461538461,1,"red",19,"0.1","0.2"
"17","",0.468292682926829,0.496153846153846,1,"red",19,"0.1","0.2"
"18","",0.487804878048781,0.511538461538461,1,"red",19,"0.1","0.2"
"19","",0.563414634146342,0.411538461538461,1,"red",19,"0.1","0.2"
"20","",0.724390243902439,0.411538461538461,1,"red",19,"0.1","0.2"
"21","",0.746341463414634,0.407692307692307,1,"red",19,"0.1","0.2"
"22","",0.680487804878049,0.511538461538461,1,"red",19,"0.1","0.2"
"23","",0.680487804878049,0.553846153846154,1,"red",19,"0.1","0.2"
"24","",0.582926829268293,0.615384615384615,1,"red",19,"0.1","0.2"
"25","",0.631707317073171,0.665384615384615,1,"red",19,"0.1","0.2"
"26","",0.670731707317073,0.646153846153846,1,"red",19,"0.1","0.2"
"27","",0.680487804878049,0.646153846153846,1,"red",19,"0.1","0.2"
"28","",0.719512195121952,0.596153846153846,1,"red",19,"0.1","0.2"
"29","",0.719512195121952,0.676923076923077,1,"red",19,"0.1","0.2"
"30","",0.680487804878049,0.719230769230769,1,"red",19,"0.1","0.2"
"31","",0.775609756097561,0.719230769230769,1,"red",19,"0.1","0.2"
"32","",0.778048780487805,0.823076923076923,1,"red",19,"0.1","0.2"
"33","",0.873170731707317,0.799999999999999,1,"red",19,"0.1","0.2"
"34","",1.11219512195122,0.615384615384615,1,"red",19,"0.1","0.2"
